energy flux ferrL ferrU TS WCDAtag
0.556 4599.402 49.927 49.927 9196.83 1
0.862 4232.276 26.773 26.773 29248.74 1
1.424 3384.971 15.005 15.005 82860.91 1
2.389 2492.271 16.181 16.181 60974.81 1
3.874 1782.341 13.522 13.522 60098.07 1
7.255 1086.706 14.871 14.871 26362.79 1
14.827 557.619 12.878 12.878 9486.86 1
28.672 313.745 4.940 4.940 11444.03 0
45.493 185.444 4.321 4.321 7788.40 0
71.768 108.644 3.269 3.269 5261.61 0
112.962 65.313 2.997 2.997 2983.87 0
179.676 35.389 2.664 2.664 1256.74 0
283.935 15.469 2.172 2.172 371.45 0
445.481 9.975 2.158 2.158 167.06 0
707.241 4.141 1.704 1.704 47.08 0
1122.856 3.112 1.862 1.862 23.14 0
1790.415 2.383 0.000 0.000 -0.00 0
