energy flux ferrL ferrU TS WCDAtag
4.042 112.432 0.000 0.000 0.01 1
5.185 186.346 0.000 0.000 1.24 1
7.137 77.390 26.580 26.580 8.38 1
7.500 41.431 17.749 17.749 5.50 1
7.927 37.137 0.000 0.000 3.53 1
11.258 17.769 8.458 8.458 4.57 1
19.927 40.309 9.854 9.854 18.26 1
30.597 43.841 4.664 4.664 97.60 0
45.919 39.154 3.561 3.561 155.30 0
68.556 15.861 2.576 2.576 46.97 0
101.355 4.790 1.998 1.998 6.94 0
147.880 4.690 0.000 0.000 0.49 0
189.374 4.703 0.000 0.000 0.00 0
219.810 0.000 0.000 0.000 -0.00 0
332.167 0.727 0.000 0.000 0.03 0
527.615 0.000 0.000 0.000 0.00 0
797.942 0.000 0.000 0.000 0.00 0
